COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
NBMENFISC21;Nombre de ménages fiscaux;Nombre de ménages fiscaux;;;CHAR;7
NBPERSMENFISC21;Nombre de personnes dans les ménages fiscaux;Nombre de personnes dans les ménages fiscaux;;;CHAR;8
MED21;Médiane du niveau vie (€);Médiane du niveau de vie (€);;;CHAR;5
PIMP21;Part des ménages fiscaux imposés (%);Part des ménages fiscaux imposés (%);;;CHAR;4
TP6021;Taux de pauvreté-Ensemble (%);Taux de pauvreté-Ensemble (%);;;CHAR;4
TP60AGE121;Taux de pauvreté-moins de 30 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a moins de 30 ans (%);;;CHAR;4
TP60AGE221;Taux de pauvreté-30 à 39 ans  (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 30 à 39 ans (%);;;CHAR;4
TP60AGE321;Taux de pauvreté-40 à 49 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 40 à 49 ans (%);;;CHAR;4
TP60AGE421;Taux de pauvreté-50 à 59 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 50 à 59 ans (%);;;CHAR;4
TP60AGE521;Taux de pauvreté-60 à 74 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 60 à 74 ans (%);;;CHAR;4
TP60AGE621;Taux de pauvreté-75 ans ou plus (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a 75 ans ou plus (%);;;CHAR;4
TP60TOL121;Taux de pauvreté-propriétaires (%);Taux de pauvreté des personnes dans les ménages propriétaires de leur logement (%);;;CHAR;4
TP60TOL221;Taux de pauvreté-locataires (%);Taux de pauvreté des personnes dans les ménages locataires de leur logement (%);;;CHAR;4
PACT21;Part des revenus d'activité (%);Part des revenus d'activité (%);;;CHAR;4
PTSA21;dont part des salaires et traitements (%);dont part des salaires et traitements (%);;;CHAR;4
PCHO21;dont part des indemnités de chômage (%);dont part des indemnités de chômage (%);;;CHAR;3
PBEN21;dont part des revenus des activités non salariées (%);dont part des revenus des activités non salariées (%);;;CHAR;4
